timestamp,open,high,low,close,volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_20
2025-03-04 18:05:00,85428.58,85862.92,85342.81,85800.01,179.29316,81.74932630944774,858.6198242383689,58.97987609017741,799.6399481481915,84489.4081058186
2025-03-04 18:10:00,85800.0,86000.0,85736.0,85980.55,217.20299,82.94082490632009,874.9273684846557,60.229936269171276,814.6974322154845,84631.42161955016
2025-03-04 18:15:00,85980.55,86000.0,85478.42,85706.71,253.9994,74.94829077784216,855.8884659028699,32.952826949908285,822.9356389529617,84733.83003673586
2025-03-04 18:20:00,85706.71,85772.0,85269.18,85391.93,243.05365,66.96044931935761,806.1075768042792,-13.462449718946004,819.5700265232252,84796.5062237134
2025-03-04 18:25:00,85391.94,85519.93,85260.51,85382.0,138.12324,66.71887918204386,757.1269078318292,-49.954494953116864,807.081402784946,84852.2675357407
2025-03-04 18:30:00,85382.0,85518.52,85148.68,85478.98,127.03267,67.93553165978805,717.8598092598986,-71.377274820038,789.2370840799366,84911.95443709873
2025-03-04 18:35:00,85478.97,85744.43,85420.79,85744.42,99.38939,71.05454903201623,700.0889507290558,-71.31850668070479,771.4074574097606,84991.23687166075
2025-03-04 18:40:00,85744.43,85909.04,85706.99,85821.79,124.2052,71.91218429392656,684.359657569803,-69.6382398719661,753.997897441769,85070.33716959783
2025-03-04 18:45:00,85821.78,85999.0,85750.71,85941.23,136.96874,73.23080387166762,673.765144039673,-64.18620272167686,737.9513467613499,85153.27934392185
2025-03-04 18:50:00,85941.22,86462.92,85869.26,86370.59,333.76178,77.34770335731352,692.0373041623388,-36.73123407920889,728.7685382415477,85269.21369211977
2025-03-04 18:55:00,86370.6,86927.68,86352.78,86764.24,463.06443,80.333948540638,729.868913327824,0.8803000690209046,728.9886132588031,85411.59715001313
2025-03-04 19:00:00,86764.25,87442.49,86537.71,87420.24,818.55697,84.09651228718387,803.5219528355228,59.62667166137578,743.895281174147,85602.89646905949
2025-03-04 19:05:00,87421.07,87770.38,87121.05,87669.21,431.0709,85.24993498448592,871.931235038588,102.4287630915527,769.5024719470354,85799.68823391096
2025-03-04 19:10:00,87669.21,88094.08,87440.06,88093.99,783.38378,86.9843876270082,949.4772967641911,143.97985985372463,805.4974369104665,86018.19316401468
2025-03-04 19:15:00,88094.0,88405.4,87777.08,88056.82,586.68602,86.03107130960586,996.4473759308021,152.7599512162684,843.6874247145337,86212.34810077518
2025-03-04 19:20:00,88056.82,88487.91,87905.66,88393.57,391.2902,87.38046533778625,1048.7550177174126,164.05407440230306,884.7009433151095,86420.08351974897
2025-03-04 19:25:00,88393.58,88444.28,87750.0,87750.47,311.65354,72.8978779340076,1026.483739712974,113.42623711829162,913.0575025946824,86546.78699405858
2025-03-04 19:30:00,87750.46,87984.43,87614.76,87671.24,349.00719,71.32933712325313,991.0165704535175,62.36725428706791,928.6493161664496,86653.8777565292
2025-03-04 19:35:00,87671.24,88076.0,87661.7,87807.32,172.68561,72.4267212548836,962.7906507151638,27.313067638971233,935.4775830761926,86763.72939876451
2025-03-04 19:40:00,87807.32,88025.63,87806.64,88009.96,135.8952,74.02132748531747,945.8693671513029,8.313427260088247,937.5559398912146,86882.4180274536
2025-03-04 19:45:00,88009.96,88105.5,87796.51,87888.49,131.70724,71.35733967142393,912.1428986365936,-20.33043300369684,932.4733316402904,86978.23440579136
2025-03-04 19:50:00,87888.49,88391.94,87882.01,88304.43,149.4109,74.71327981840005,908.5046352859063,-19.174957083507365,927.6795923694136,87104.53874809694
2025-03-04 19:55:00,88304.43,88385.48,88126.63,88206.19,101.0887,72.55112225971847,887.4640057628712,-32.172469285234,919.6364750481052,87209.45791494485
